date,title,llm_sentiment_score,uncertainty_score,market_sentiment,event_category
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,1.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,1.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,1.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,1.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for AAPL,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for MSFT,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
Unknown Date,Market update for GOOGL,0.0,0.0,Neutral,Other
